id,title,source,job_url,url_status,url_message
labor_timviec365_2064470,Nhân Viên Điều Phối Vận Tải,TimViec365,https://timviec365.vn/nhan-vien-djieu-phoi-van-tai-p2064470.html,working,OK (200)
labor_timviec365_2064350,Nhân viên điều hành giao hàng kênh siêu thị,TimViec365,https://timviec365.vn/nhan-vien-djieu-hanh-giao-hang-kenh-sieu-thi-p2064350.html,working,OK (200)
labor_timviec365_2064286,Tuyển nhân viên điều phối xe tải,TimViec365,https://timviec365.vn/tuyen-nhan-vien-djieu-phoi-xe-tai-p2064286.html,working,OK (200)
labor_timviec365_2064185,Tuyển Dụng – TÀI XẾ,TimViec365,https://timviec365.vn/tuyen-dung-tai-xe-p2064185.html,working,OK (200)
labor_timviec365_2064191,Nhân viên tài xế ô tô Fulltime,TimViec365,https://timviec365.vn/nhan-vien-tai-xe-o-to-fulltime-p2064191.html,working,OK (200)
labor_timviec365_2064186,Tuyển nhân viên giao hàng xe máy,TimViec365,https://timviec365.vn/tuyen-nhan-vien-giao-hang-xe-may-p2064186.html,working,OK (200)
labor_timviec365_2064419,Nhân Viên Giao Hàng Kho,TimViec365,https://timviec365.vn/nhan-vien-giao-hang-kho-p2064419.html,working,OK (200)
labor_timviec365_2064048,Nhân viên Lái xe,TimViec365,https://timviec365.vn/nhan-vien-lai-xe-p2064048.html,working,OK (200)
labor_timviec365_2064033,Tuyển nhân viên lái xe,TimViec365,https://timviec365.vn/tuyen-nhan-vien-lai-xe-p2064033.html,working,OK (200)
labor_timviec365_2063931,Tài xế riêng,TimViec365,https://timviec365.vn/tai-xe-rieng-p2063931.html,working,OK (200)
labor_timviec365_2063895,Tuyển Lái xe (KCN QUANG MINH),TimViec365,https://timviec365.vn/tuyen-lai-xe-kcn-quang-minh-p2063895.html,working,OK (200)
labor_timviec365_2062718,Nhân Viên Giao Nhận - Bưu Ta,TimViec365,https://timviec365.vn/nhan-vien-giao-nhan-buu-ta-p2062718.html,working,OK (200)
labor_timviec365_2064146,Lái xe van,TimViec365,https://timviec365.vn/lai-xe-van-p2064146.html,working,OK (200)
